Time (ms),Timegap (ms),Gaze X,Gaze Y,Pupil_Size,AOI,Time_Normalized (ms),Face_ID,Tipo_Estimulo,Emocao,Tempo_Interno_Bloco,Fase_Estimulo
0,0,473,851,4.41,0,0,1,Humano,Feliz,0,Janela_Baseline
17,17,478,846,4.49,0,17,1,Humano,Feliz,17,Janela_Baseline
33,17,505,855,4.41,0,33,1,Humano,Feliz,33,Janela_Baseline
50,17,501,859,4.41,0,50,1,Humano,Feliz,50,Janela_Baseline
67,17,512,861,4.44,0,67,1,Humano,Feliz,67,Janela_Baseline
83,17,505,864,4.43,0,83,1,Humano,Feliz,83,Janela_Baseline
100,17,507,858,4.43,0,100,1,Humano,Feliz,100,Janela_Baseline
116,17,510,855,4.36,0,116,1,Humano,Feliz,116,Janela_Baseline
133,17,510,856,4.43,0,133,1,Humano,Feliz,133,Janela_Baseline
150,17,509,857,4.43,0,150,1,Humano,Feliz,150,Janela_Baseline
166,17,506,858,4.41,0,166,1,Humano,Feliz,166,Janela_Baseline
183,17,506,863,4.4,0,183,1,Humano,Feliz,183,Janela_Baseline
200,17,506,869,4.48,0,200,1,Humano,Feliz,200,Janela_Baseline
216,17,515,856,4.49,0,216,1,Humano,Feliz,216,Janela_Baseline
233,17,516,857,4.52,0,233,1,Humano,Feliz,233,Janela_Baseline
250,17,515,861,4.49,0,250,1,Humano,Feliz,250,Janela_Baseline
266,17,517,864,4.51,0,266,1,Humano,Feliz,266,Janela_Baseline
283,17,516,866,4.46,0,283,1,Humano,Feliz,283,Janela_Baseline
299,17,465,848,4.51,0,299,1,Humano,Feliz,299,Janela_Baseline
316,17,520,861,4.48,0,316,1,Humano,Feliz,316,Janela_Baseline
333,17,519,873,4.51,0,333,1,Humano,Feliz,333,Janela_Baseline
349,17,504,855,4.51,0,349,1,Humano,Feliz,349,Janela_Baseline
366,17,513,861,4.46,0,366,1,Humano,Feliz,366,Janela_Baseline
383,17,517,859,4.41,0,383,1,Humano,Feliz,383,Janela_Baseline
399,17,514,860,4.44,0,399,1,Humano,Feliz,399,Janela_Baseline
416,17,513,853,4.48,0,416,1,Humano,Feliz,416,Janela_Baseline
433,17,512,854,4.49,0,433,1,Humano,Feliz,433,Janela_Baseline
449,17,516,846,4.51,0,449,1,Humano,Feliz,449,Janela_Baseline
466,17,517,857,4.41,0,466,1,Humano,Feliz,466,Janela_Baseline
482,17,517,857,4.46,0,482,1,Humano,Feliz,482,Janela_Baseline
499,17,517,855,4.36,0,499,1,Humano,Feliz,499,Janela_Baseline
516,17,519,855,4.41,0,516,1,Humano,Feliz,516,Janela_Baseline
532,17,517,859,4.36,0,532,1,Humano,Feliz,532,Janela_Baseline
549,17,519,856,4.35,0,549,1,Humano,Feliz,549,Janela_Baseline
566,17,521,854,4.35,0,566,1,Humano,Feliz,566,Janela_Baseline
582,17,525,855,4.35,0,582,1,Humano,Feliz,582,Janela_Baseline
599,17,521,854,4.38,0,599,1,Humano,Feliz,599,Janela_Baseline
615,17,520,856,4.3,0,615,1,Humano,Feliz,615,Janela_Baseline
632,17,521,855,4.32,0,632,1,Humano,Feliz,632,Janela_Baseline
649,17,519,863,4.27,0,649,1,Humano,Feliz,649,Janela_Baseline
665,17,519,857,4.32,0,665,1,Humano,Feliz,665,Janela_Baseline
682,17,528,856,4.35,0,682,1,Humano,Feliz,682,Janela_Baseline
699,17,518,854,4.36,0,699,1,Humano,Feliz,699,Janela_Baseline
715,17,525,863,4.27,0,715,1,Humano,Feliz,715,Janela_Baseline
